 Subject: National Accounts 
 Topic : Gross Domestic Product 
" Title  : M015171 - Gross Domestic Product In Chained (2015) Dollars, By Industry (SSIC 2015 Version 2018), Quarterly "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Million Dollars
 Variables , 1975 1Q , 1975 2Q , 1975 3Q , 1975 4Q , 1976 1Q , 1976 2Q , 1976 3Q , 1976 4Q , 1977 1Q , 1977 2Q , 1977 3Q , 1977 4Q , 1978 1Q , 1978 2Q , 1978 3Q , 1978 4Q , 1979 1Q , 1979 2Q , 1979 3Q , 1979 4Q , 1980 1Q , 1980 2Q , 1980 3Q , 1980 4Q , 1981 1Q , 1981 2Q , 1981 3Q , 1981 4Q , 1982 1Q , 1982 2Q , 1982 3Q , 1982 4Q , 1983 1Q , 1983 2Q , 1983 3Q , 1983 4Q , 1984 1Q , 1984 2Q , 1984 3Q , 1984 4Q , 1985 1Q , 1985 2Q , 1985 3Q , 1985 4Q , 1986 1Q , 1986 2Q , 1986 3Q , 1986 4Q , 1987 1Q , 1987 2Q , 1987 3Q , 1987 4Q , 1988 1Q , 1988 2Q , 1988 3Q , 1988 4Q , 1989 1Q , 1989 2Q , 1989 3Q , 1989 4Q , 1990 1Q , 1990 2Q , 1990 3Q , 1990 4Q , 1991 1Q , 1991 2Q , 1991 3Q , 1991 4Q , 1992 1Q , 1992 2Q , 1992 3Q , 1992 4Q , 1993 1Q , 1993 2Q , 1993 3Q , 1993 4Q , 1994 1Q , 1994 2Q , 1994 3Q , 1994 4Q , 1995 1Q , 1995 2Q , 1995 3Q , 1995 4Q , 1996 1Q , 1996 2Q , 1996 3Q , 1996 4Q , 1997 1Q , 1997 2Q , 1997 3Q , 1997 4Q , 1998 1Q , 1998 2Q , 1998 3Q , 1998 4Q , 1999 1Q , 1999 2Q , 1999 3Q , 1999 4Q , 2000 1Q , 2000 2Q , 2000 3Q , 2000 4Q , 2001 1Q , 2001 2Q , 2001 3Q , 2001 4Q , 2002 1Q , 2002 2Q , 2002 3Q , 2002 4Q , 2003 1Q , 2003 2Q , 2003 3Q , 2003 4Q , 2004 1Q , 2004 2Q , 2004 3Q , 2004 4Q , 2005 1Q , 2005 2Q , 2005 3Q , 2005 4Q , 2006 1Q , 2006 2Q , 2006 3Q , 2006 4Q , 2007 1Q , 2007 2Q , 2007 3Q , 2007 4Q , 2008 1Q , 2008 2Q , 2008 3Q , 2008 4Q , 2009 1Q , 2009 2Q , 2009 3Q , 2009 4Q , 2010 1Q , 2010 2Q , 2010 3Q , 2010 4Q , 2011 1Q , 2011 2Q , 2011 3Q , 2011 4Q , 2012 1Q , 2012 2Q , 2012 3Q , 2012 4Q , 2013 1Q , 2013 2Q , 2013 3Q , 2013 4Q , 2014 1Q , 2014 2Q , 2014 3Q , 2014 4Q , 2015 1Q , 2015 2Q , 2015 3Q , 2015 4Q , 2016 1Q , 2016 2Q , 2016 3Q , 2016 4Q , 2017 1Q , 2017 2Q , 2017 3Q , 2017 4Q , 2018 1Q , 2018 2Q , 2018 3Q , 2018 4Q , 2019 1Q , 2019 2Q , 2019 3Q , 2019 4Q , 2020 1Q , 2020 2Q ,
 GDP In Chained (2015) Dollars ," 7,361.9 "," 7,558.6 "," 7,954.6 "," 8,128.6 "," 7,966.1 "," 8,118.5 "," 8,530.7 "," 8,694.2 "," 8,461.6 "," 8,732.9 "," 9,074.9 "," 9,322.7 "," 8,935.6 "," 9,273.3 "," 9,877.3 "," 10,274 "," 9,786.2 "," 10,266.4 "," 10,684.1 "," 11,288.5 "," 10,914.1 "," 11,326 "," 11,788.6 "," 12,246.6 "," 12,037 "," 12,623.8 "," 13,103.6 "," 13,516.1 "," 13,130.8 "," 13,553.7 "," 13,947.4 "," 14,290.6 "," 14,123.7 "," 14,638.5 "," 15,140.1 "," 15,718.6 "," 15,663.9 "," 16,072.7 "," 16,476.3 "," 16,650.1 "," 16,277.7 "," 16,062.9 "," 16,094.5 "," 16,023.9 "," 15,622.5 "," 16,075.7 "," 16,555.6 "," 17,070.8 "," 16,881.1 "," 17,710.3 "," 18,583.8 "," 19,203 "," 18,762 "," 19,835.7 "," 20,667.6 "," 21,265.4 "," 20,617.5 "," 22,100.9 "," 22,717 "," 23,276.1 "," 23,506.4 "," 24,035.3 "," 24,727.4 "," 25,154.8 "," 25,014.1 "," 25,605.2 "," 26,526 "," 26,794.8 "," 26,432 "," 26,983.6 "," 28,303.8 "," 29,122 "," 28,799.5 "," 30,309.8 "," 31,561 "," 32,876.6 "," 32,683.4 "," 33,442.8 "," 35,285.4 "," 35,846.1 "," 34,375.8 "," 35,865.9 "," 38,257 "," 38,642.8 "," 38,443.3 "," 39,029.7 "," 39,815.5 "," 40,846.5 "," 40,648.8 "," 42,726.8 "," 44,174.2 "," 43,741.9 "," 41,264.4 "," 41,691.8 "," 41,954.9 "," 42,620.1 "," 42,173.4 "," 43,959.4 "," 45,328.5 "," 45,659.4 "," 45,864.8 "," 47,521.1 "," 49,703.4 "," 50,041.6 "," 48,477.2 "," 47,807.2 "," 47,195.8 "," 47,586.1 "," 47,934.8 "," 49,817.5 "," 50,318.7 "," 50,474.8 "," 49,928.3 "," 49,687.8 "," 52,989.6 "," 54,945.7 "," 55,049.7 "," 56,332.1 "," 57,378.1 "," 59,172.2 "," 57,900.2 "," 59,802.7 "," 62,296.2 "," 64,706.6 "," 63,926.6 "," 65,104.9 "," 67,616.2 "," 70,094.1 "," 69,394.4 "," 71,640.6 "," 75,040.2 "," 74,732.4 "," 75,065.5 "," 74,012.7 "," 74,983.6 "," 72,178.8 "," 69,276.2 "," 73,148.3 "," 77,100.8 "," 77,073.7 "," 80,373.5 "," 86,784 "," 85,121.6 "," 87,402.8 "," 87,964.4 "," 89,456.8 "," 91,794.6 "," 91,994.7 "," 92,266.9 "," 94,966.9 "," 93,664.1 "," 96,428.4 "," 95,412.4 "," 99,365.9 "," 99,419.1 "," 101,381.3 "," 99,519.1 "," 102,650.8 "," 103,016.3 "," 105,970.4 "," 102,478.4 "," 105,879.3 "," 106,808 "," 108,278.4 "," 105,674.1 "," 108,757.3 "," 109,718.3 "," 113,028.7 "," 110,268 "," 112,436.7 "," 115,364.8 "," 118,067.6 "," 115,601 "," 117,985.4 "," 118,863.5 "," 119,369.7 "," 116,787.4 "," 118,256.6 "," 119,660.2 "," 120,575.3 "," 116,494.3 "," 102,703.6 ",
     Goods Producing Industries ," 2,088.2 "," 2,220.9 "," 2,466.6 "," 2,555.4 "," 2,413.7 "," 2,553 "," 2,692.9 "," 2,701.8 "," 2,540.6 "," 2,751.7 "," 2,819.9 "," 2,886.2 "," 2,607.9 "," 2,859.9 "," 3,024.5 "," 3,219.2 "," 2,960.6 "," 3,247.8 "," 3,309 "," 3,543.4 "," 3,273 "," 3,584.9 "," 3,643.1 "," 3,805.7 "," 3,576.6 "," 3,982.4 "," 4,043.5 "," 4,177.6 "," 3,947.4 "," 4,177.2 "," 4,222.7 "," 4,216.3 "," 4,166.7 "," 4,502.8 "," 4,696.1 "," 4,914.1 "," 4,786.5 "," 5,083.7 "," 5,128.9 "," 5,041.6 "," 4,712 "," 4,565.3 "," 4,511.8 "," 4,272.9 "," 4,100.7 "," 4,506.5 "," 4,534.3 "," 4,588.2 "," 4,365.8 "," 4,794.1 "," 5,026.7 "," 5,239.4 "," 4,980.6 "," 5,485.6 "," 5,675.2 "," 5,736.9 "," 5,378.8 "," 5,860 "," 6,096 "," 6,294.9 "," 5,943.8 "," 6,352.2 "," 6,618.2 "," 6,827.1 "," 6,530.6 "," 6,763 "," 7,083.9 "," 7,218.8 "," 6,731.9 "," 7,034.9 "," 7,425.7 "," 7,755 "," 7,183.9 "," 7,784.4 "," 8,230.8 "," 8,435.5 "," 8,239.1 "," 8,868 "," 9,480.5 "," 9,561.2 "," 8,766.8 "," 9,606.8 "," 10,541.3 "," 10,642.6 "," 10,164.8 "," 10,449.6 "," 10,570.6 "," 10,883 "," 9,984.8 "," 11,023.9 "," 11,807.2 "," 11,948.1 "," 10,805.2 "," 11,222.7 "," 11,347.1 "," 11,489.1 "," 11,370.4 "," 11,757.7 "," 12,457.3 "," 12,390.8 "," 12,145.9 "," 12,853.2 "," 13,982.5 "," 14,297.4 "," 12,621.5 "," 12,085.5 "," 11,852.1 "," 11,988.1 "," 12,040.3 "," 13,089.5 "," 12,998.4 "," 12,744 "," 12,424.8 "," 12,229 "," 13,222.8 "," 13,791.9 "," 13,482.1 "," 14,183.6 "," 14,346 "," 15,322.3 "," 13,873.4 "," 14,860.1 "," 15,977.7 "," 17,357.5 "," 16,116.9 "," 16,498.2 "," 17,629.1 "," 18,839 "," 17,329.9 "," 17,878.6 "," 19,742.3 "," 19,067 "," 19,369.3 "," 17,541.2 "," 18,544.6 "," 17,972.5 "," 16,304.9 "," 18,125.1 "," 20,195.3 "," 19,197.8 "," 21,214.2 "," 24,862.4 "," 22,660.6 "," 22,835.9 "," 24,410 "," 24,135.4 "," 24,474.1 "," 24,756.9 "," 24,751.3 "," 25,461.3 "," 24,637.6 "," 25,045.5 "," 23,669.7 "," 25,715.2 "," 25,758.4 "," 26,616.5 "," 25,916.8 "," 26,419.5 "," 26,546 "," 26,762.9 "," 25,211.2 "," 26,058.9 "," 25,804.8 "," 25,911.1 "," 25,401.7 "," 26,495.9 "," 25,993.8 "," 27,796.9 "," 26,844.9 "," 27,636.6 "," 29,389.3 "," 28,974.3 "," 28,723.9 "," 29,783.2 "," 30,056.8 "," 29,854.9 "," 28,790.5 "," 29,211.5 "," 30,021.6 "," 29,476 "," 30,582.6 "," 26,528.2 ",
         Manufacturing ," 1,353 "," 1,417.9 "," 1,627.7 "," 1,679.2 "," 1,569.2 "," 1,639.4 "," 1,766.1 "," 1,816.1 "," 1,683.2 "," 1,848.7 "," 1,902 "," 1,989.7 "," 1,787.3 "," 2,003.9 "," 2,168.4 "," 2,304.6 "," 2,105.2 "," 2,325.3 "," 2,398.3 "," 2,576.1 "," 2,342.8 "," 2,593.4 "," 2,650.3 "," 2,758.8 "," 2,579.1 "," 2,909.3 "," 2,910 "," 2,909 "," 2,709.6 "," 2,819.4 "," 2,743.4 "," 2,639.1 "," 2,603.4 "," 2,755.1 "," 2,889.1 "," 2,969.3 "," 2,876.3 "," 3,071.1 "," 3,082.9 "," 3,027.8 "," 2,793.8 "," 2,846.3 "," 2,821.5 "," 2,716.4 "," 2,639.1 "," 2,987.6 "," 3,187.7 "," 3,302.8 "," 3,090.6 "," 3,457.3 "," 3,699.7 "," 3,984.4 "," 3,754.2 "," 4,214.8 "," 4,387.5 "," 4,484.3 "," 4,124.7 "," 4,624.1 "," 4,794.9 "," 4,947.6 "," 4,599.2 "," 5,014.7 "," 5,272 "," 5,361.5 "," 5,075.7 "," 5,328.9 "," 5,475.1 "," 5,469.5 "," 5,018.1 "," 5,328.8 "," 5,639.8 "," 5,852.6 "," 5,421.9 "," 5,950.2 "," 6,237.2 "," 6,341.1 "," 6,064.3 "," 6,713.6 "," 7,095.7 "," 7,116.7 "," 6,556.2 "," 7,244.7 "," 7,967.6 "," 7,931.7 "," 7,447.5 "," 7,629.7 "," 7,636.2 "," 7,809.5 "," 7,059.5 "," 7,943.5 "," 8,361 "," 8,471.1 "," 7,492.6 "," 7,908.7 "," 7,990.6 "," 8,211.3 "," 8,224.6 "," 8,777.3 "," 9,395.8 "," 9,323.7 "," 9,288.3 "," 9,958.3 "," 10,827.2 "," 11,058.1 "," 9,553.5 "," 9,059.7 "," 8,744.7 "," 9,000.5 "," 9,123.4 "," 10,286.7 "," 10,116.9 "," 9,910.6 "," 9,728.2 "," 9,550.7 "," 10,394.4 "," 10,945.9 "," 10,721.5 "," 11,464.9 "," 11,544.2 "," 12,512.7 "," 11,070.4 "," 12,131.8 "," 13,118 "," 14,320.6 "," 13,121.3 "," 13,578.4 "," 14,457.1 "," 15,521.4 "," 13,967.5 "," 14,589.8 "," 16,160.8 "," 15,327.3 "," 15,678.5 "," 13,777.4 "," 14,391.1 "," 13,683.4 "," 11,948.5 "," 13,701.7 "," 15,475.4 "," 14,017.3 "," 16,391.1 "," 19,901.7 "," 17,596.9 "," 17,616.8 "," 19,516.8 "," 19,147 "," 19,164.6 "," 19,261.1 "," 19,301.2 "," 19,927.5 "," 18,888.5 "," 19,218.6 "," 18,076.6 "," 20,083.6 "," 19,876.4 "," 20,591.8 "," 19,810.7 "," 20,359.2 "," 20,214.4 "," 20,353.6 "," 18,958.2 "," 19,487.7 "," 19,062.6 "," 19,089.7 "," 18,888.3 "," 19,795 "," 19,414 "," 21,335.4 "," 20,481.5 "," 21,489.4 "," 23,163 "," 22,564.8 "," 22,533.8 "," 23,764.5 "," 23,965.6 "," 23,598.7 "," 22,544.7 "," 23,112.3 "," 23,789.6 "," 23,061.4 "," 24,330.4 "," 22,945.5 ",
         Construction , 509.6 , 576.6 , 608.3 , 649.7 , 606.9 , 673.3 , 680 , 633.8 , 606.4 , 640.5 , 656 , 629.5 , 552.7 , 583.6 , 572 , 623.9 , 574.7 , 633.1 , 615.2 , 664.9 , 643.7 , 693.4 , 685.5 , 736 , 691.6 , 764.6 , 825.3 , 973 , 949.2 ," 1,066.3 "," 1,180.2 "," 1,278.4 "," 1,260.5 "," 1,431.8 "," 1,491.8 "," 1,633 "," 1,608.2 "," 1,690.1 "," 1,719.5 "," 1,676.3 "," 1,584.8 "," 1,382.2 "," 1,359.8 "," 1,228.9 "," 1,139.6 "," 1,185.6 ", 998.7 , 931 , 931 , 982.8 , 962 , 879 , 870.6 , 904 , 908.5 , 871.5 , 883.1 , 855.1 , 907.4 , 950.7 , 950.5 , 931.8 , 935.2 ," 1,051.5 "," 1,056 "," 1,015.8 "," 1,170.4 "," 1,323 "," 1,291.5 "," 1,274.7 "," 1,348.1 "," 1,462.6 "," 1,340.1 "," 1,382 "," 1,517.7 "," 1,616 "," 1,703.4 "," 1,658 "," 1,863 "," 1,928.2 "," 1,709 "," 1,831.2 "," 2,029.2 "," 2,172.1 "," 2,200.3 "," 2,253.9 "," 2,352.9 "," 2,497.4 "," 2,369.1 "," 2,471.5 "," 2,822.5 "," 2,854.6 "," 2,698.9 "," 2,668.6 "," 2,723.2 "," 2,638.5 "," 2,524.1 "," 2,301.9 "," 2,372 "," 2,375.5 "," 2,195.2 "," 2,181.9 "," 2,418.8 "," 2,512.7 "," 2,384 "," 2,289.4 "," 2,391.6 "," 2,259.6 "," 2,179.6 "," 1,932.5 "," 2,002.7 "," 1,973.2 "," 1,822.1 "," 1,750.2 "," 1,909.2 "," 1,912.2 "," 1,856.6 "," 1,653.5 "," 1,744.9 "," 1,772.2 "," 1,843.9 "," 1,623.8 "," 1,746.2 "," 1,869.8 "," 1,894.8 "," 1,710 "," 1,956.4 "," 2,078.6 "," 2,229.3 "," 2,076.5 "," 2,338.1 "," 2,576.5 "," 2,519.2 "," 2,661.9 "," 3,067.7 "," 3,289.1 "," 3,294 "," 3,289.7 "," 3,561.7 "," 3,967.1 "," 3,637.1 "," 3,705.5 "," 3,809.9 "," 3,950.1 "," 3,683.4 "," 3,690.8 "," 4,008.7 "," 4,234.6 "," 4,194 "," 4,217.6 "," 4,389.5 "," 4,492.2 "," 4,296.2 "," 4,281.6 "," 4,486.6 "," 4,664.1 "," 4,762.5 "," 4,659.1 "," 4,876.9 "," 4,982.1 "," 4,850.2 "," 5,084.2 "," 5,208.7 "," 5,290.7 "," 5,048.2 "," 5,164.7 "," 5,051.4 "," 4,935.1 "," 4,891.1 "," 4,639.3 "," 4,677.8 "," 4,892.8 "," 4,727 "," 4,453.7 "," 4,525.7 "," 4,727.1 "," 4,794.4 "," 4,557.4 "," 4,667 "," 4,932.6 "," 4,739.2 "," 1,854.6 ",
         Utilities , 136.8 , 142 , 149.9 , 149.9 , 146.7 , 154.4 , 161.3 , 162 , 157.6 , 172.2 , 176.6 , 176.6 , 181.3 , 188 , 198.2 , 203.2 , 199.4 , 207 , 210.5 , 212 , 212 , 221.7 , 225.2 , 225.2 , 223.1 , 236.6 , 242.1 , 241.5 , 232.1 , 246.8 , 253.1 , 254.3 , 246.5 , 272.9 , 276.6 , 272.3 , 270.1 , 287.7 , 291.6 , 291.2 , 292.7 , 302 , 297.6 , 294.9 , 292.7 , 313.8 , 324.8 , 329.6 , 318.9 , 337.1 , 352.8 , 364.5 , 352.3 , 368.2 , 382.8 , 381.2 , 372.7 , 387.9 , 400 , 403 , 402.5 , 423.3 , 432 , 433.5 , 424.4 , 445.2 , 470.7 , 461 , 453.3 , 468.4 , 477.2 , 477.5 , 458.4 , 499 , 523.3 , 521.7 , 517.1 , 547.1 , 577.3 , 568.7 , 556.1 , 590.2 , 606.8 , 601.6 , 588.8 , 646.5 , 669.9 , 667.8 , 647.5 , 703 , 739.5 , 736.5 , 723.7 , 760.4 , 748.9 , 750.8 , 732 , 782.8 , 795.6 , 796.7 , 774 , 838.7 , 869.6 , 862.5 , 844.1 , 912.7 , 916.3 , 902 , 891.8 , 957.1 , 983.7 , 964.9 , 959.7 ," 1,017.1 "," 1,002.9 ", 997.5 , 956.9 ," 1,073.3 "," 1,074.3 "," 1,012.8 "," 1,011.7 "," 1,065.5 "," 1,044.1 "," 1,068 "," 1,067.9 "," 1,133.9 "," 1,149.3 "," 1,130 "," 1,135.6 "," 1,164.7 "," 1,177.6 "," 1,183.1 "," 1,152.9 "," 1,189.1 "," 1,220.4 "," 1,191.8 "," 1,108.4 "," 1,212 "," 1,238.1 "," 1,261.3 "," 1,244.7 "," 1,313.7 "," 1,318.2 "," 1,332.7 "," 1,271.5 "," 1,364.5 "," 1,368.3 "," 1,323.8 "," 1,308.5 "," 1,374.2 "," 1,390.3 "," 1,368.8 "," 1,324 "," 1,402.8 "," 1,435.8 "," 1,409.5 "," 1,361.2 "," 1,439.9 "," 1,466.6 "," 1,438.1 "," 1,388.1 "," 1,463.9 "," 1,485.4 "," 1,478.5 "," 1,429 "," 1,500.5 "," 1,495 "," 1,491.3 "," 1,437 "," 1,473.4 "," 1,507.4 "," 1,480.2 "," 1,414.5 "," 1,487.2 "," 1,485.7 "," 1,463.9 "," 1,440.7 "," 1,480.6 "," 1,491.4 "," 1,472.9 "," 1,444.5 "," 1,372 ",
         Other Goods Industries * , 83.5 , 86 , 88.6 , 96.7 , 96.1 , 97.1 , 98.1 , 98.7 , 98.5 , 99.1 , 97.1 , 99.3 , 92.2 , 93.6 , 94.8 , 99.2 , 91.4 , 96.1 , 96.5 , 103.3 , 92.1 , 96.2 , 98.7 , 105.2 , 100.3 , 97.9 , 99.6 , 105.7 , 98.5 , 97.6 , 103.9 , 107.3 , 108.1 , 106.3 , 106.8 , 111.4 , 104.3 , 111.1 , 112.2 , 118.5 , 109.1 , 100.4 , 98.1 , 93.3 , 87.7 , 85.9 , 87.4 , 89 , 82.3 , 81.8 , 78.7 , 77.6 , 67.2 , 67.5 , 67.2 , 70.3 , 66.1 , 60.3 , 65 , 68.2 , 63.7 , 57.6 , 56.1 , 60.8 , 53.6 , 54.4 , 55.2 , 55.3 , 54.9 , 51.2 , 50.3 , 52 , 49.2 , 48.9 , 50.3 , 51 , 50.8 , 50.7 , 51.2 , 53.1 , 47.3 , 47.6 , 49.1 , 51.9 , 49.8 , 50.1 , 50.1 , 52 , 48.8 , 51.3 , 47.4 , 49.5 , 45.6 , 43 , 43.7 , 45.4 , 40.1 , 43.7 , 45.3 , 46.8 , 41.8 , 39.9 , 42.7 , 41 , 37.7 , 36.5 , 35.6 , 34.5 , 31.8 , 29.6 , 29.2 , 28.8 , 28.2 , 26 , 27.5 , 27.8 , 27 , 25.4 , 30 , 27.1 , 30.4 , 27.2 , 29.3 , 30.1 , 30.7 , 28.3 , 27.5 , 32.5 , 32.3 , 29.1 , 27.9 , 29.7 , 31 , 28.2 , 26.6 , 26.2 , 31.1 , 26.6 , 27.1 , 31.6 , 29.9 , 30.5 , 29.8 , 29.4 , 32.6 , 30.2 , 29.5 , 32.2 , 32.1 , 32.9 , 32.9 , 32 , 34 , 32.8 , 34.4 , 33.2 , 35.1 , 34.2 , 36 , 33.5 , 35.2 , 34 , 35.5 , 33.4 , 36.2 , 35.7 , 33.4 , 35.1 , 33.8 , 33.3 , 38.5 , 33.6 , 32.4 , 34 , 36.5 , 36.2 , 34.1 , 34.8 , 40.3 , 37 , 34.5 , 26.7 ,
     Services Producing Industries ," 4,183.4 "," 4,247 "," 4,352.1 "," 4,413.8 "," 4,405 "," 4,420.6 "," 4,646.1 "," 4,761.5 "," 4,701.8 "," 4,745.9 "," 4,969.4 "," 5,127.5 "," 5,030.2 "," 5,112.4 "," 5,471 "," 5,639.3 "," 5,425.2 "," 5,583.3 "," 5,864.4 "," 6,149.4 "," 6,058.9 "," 6,165.3 "," 6,493.1 "," 6,748 "," 6,723.7 "," 6,857.4 "," 7,195.2 "," 7,428.6 "," 7,325.5 "," 7,483.5 "," 7,793.2 "," 8,089.6 "," 7,874.1 "," 8,019.4 "," 8,278.2 "," 8,532.5 "," 8,508.4 "," 8,595 "," 8,895 "," 9,141.5 "," 9,076.3 "," 9,126.2 "," 9,161.7 "," 9,330.5 "," 9,116.3 "," 9,120.5 "," 9,477.5 "," 9,888.3 "," 9,926.1 "," 10,233.5 "," 10,709.5 "," 11,013.5 "," 10,924.5 "," 11,353 "," 11,890.6 "," 12,250.1 "," 12,028.6 "," 12,948.7 "," 13,254.3 "," 13,293.1 "," 13,937.9 "," 14,132 "," 14,483.5 "," 14,699.2 "," 14,882.1 "," 15,205.2 "," 15,564 "," 15,733.6 "," 15,845.1 "," 16,152.3 "," 16,845.8 "," 17,291.3 "," 17,562.6 "," 18,361.9 "," 18,940.3 "," 19,845.8 "," 19,981 "," 20,086.3 "," 20,930 "," 21,309.3 "," 20,711.5 "," 21,497.2 "," 22,609.4 "," 22,774.3 "," 23,073.7 "," 23,444.2 "," 23,992.2 "," 24,710 "," 25,410.4 "," 26,222.8 "," 26,751.2 "," 26,092.4 "," 24,871.1 "," 25,132.6 "," 25,111.2 "," 25,553.6 "," 25,116.2 "," 26,466.7 "," 26,769.2 "," 26,984.5 "," 27,394.5 "," 28,263.7 "," 29,086.4 "," 29,055.2 "," 29,386.5 "," 29,692 "," 29,314 "," 29,384 "," 29,595.1 "," 30,221.1 "," 30,990.3 "," 31,276.1 "," 30,971.7 "," 31,098.4 "," 33,237.3 "," 34,330 "," 34,392.5 "," 35,226.1 "," 36,001.6 "," 36,483 "," 36,770.4 "," 37,743.9 "," 38,742.6 "," 39,295.1 "," 39,776.6 "," 40,755.3 "," 41,823.9 "," 42,771.5 "," 43,282.5 "," 44,874.1 "," 46,113.2 "," 46,874.7 "," 47,212.8 "," 48,173.2 "," 48,043.9 "," 46,149.2 "," 45,048.8 "," 46,626.5 "," 48,174.7 "," 49,305.4 "," 50,298.4 "," 52,676.6 "," 53,518.6 "," 55,473.1 "," 54,619 "," 56,095.6 "," 58,087.5 "," 58,114.8 "," 58,053.1 "," 60,042.6 "," 59,553.8 "," 61,672.7 "," 62,292.5 "," 63,949.7 "," 64,193.7 "," 65,321 "," 64,261.7 "," 66,525.5 "," 66,847.8 "," 69,181.9 "," 67,235.3 "," 69,314.8 "," 70,462.7 "," 71,088.5 "," 69,143.5 "," 70,607.5 "," 72,021.1 "," 73,383.5 "," 71,434.8 "," 72,990.7 "," 74,064.4 "," 76,193.9 "," 74,717.8 "," 75,887.2 "," 76,741 "," 77,249 "," 75,474.3 "," 76,685.4 "," 77,356.9 "," 78,446.1 "," 73,735.5 "," 66,421.5 ",
         Wholesale & Retail Trade ," 1,076 "," 1,138.5 "," 1,129.3 "," 1,135.9 "," 1,060.4 "," 1,101.9 "," 1,168.9 "," 1,201.4 "," 1,151.9 "," 1,194.3 "," 1,252.5 "," 1,314.3 "," 1,236.3 "," 1,238.8 "," 1,354 "," 1,390.8 "," 1,292.6 "," 1,307.5 "," 1,417.9 "," 1,471 "," 1,341.5 "," 1,376.9 "," 1,468.2 "," 1,544.3 "," 1,414 "," 1,421.9 "," 1,506.3 "," 1,592.9 "," 1,499.4 "," 1,485.8 "," 1,578.2 "," 1,672.9 "," 1,555.7 "," 1,551.2 "," 1,660.9 "," 1,773.5 "," 1,644.8 "," 1,606.8 "," 1,741.1 "," 1,898.5 "," 1,683.6 "," 1,631.4 "," 1,622.2 "," 1,694.3 "," 1,509.7 "," 1,621.5 "," 1,666.5 "," 1,785.4 "," 1,542.1 "," 1,815.6 "," 1,910.9 "," 2,008.2 "," 1,851.4 "," 2,120.1 "," 2,255.5 "," 2,367.7 "," 2,007.4 "," 2,324.8 "," 2,484.2 "," 2,499.2 "," 2,492 "," 2,528.9 "," 2,554.9 "," 2,804.4 "," 2,760.1 "," 2,785.3 "," 2,930.6 "," 2,970.9 "," 2,692.8 "," 2,713.9 "," 2,854.3 "," 3,080.3 "," 3,287.3 "," 3,297.9 "," 3,503.1 "," 3,799.8 "," 3,675.5 "," 3,789.2 "," 4,048.7 "," 4,419.5 "," 4,144.7 "," 4,294.3 "," 4,619 "," 4,808.2 "," 4,478.4 "," 4,458.6 "," 4,700.9 "," 5,005 "," 4,803.7 "," 5,023.1 "," 5,233.3 "," 4,912.4 "," 4,518.9 "," 4,549.6 "," 4,543.1 "," 4,729.8 "," 4,420.8 "," 4,878.9 "," 5,028.5 "," 5,392.6 "," 5,336.7 "," 5,749 "," 6,178.3 "," 6,255.1 "," 5,811.6 "," 5,772.7 "," 5,774.5 "," 5,980 "," 5,645.3 "," 6,005.2 "," 6,499 "," 6,726.7 "," 6,369.9 "," 6,684.8 "," 7,187.1 "," 7,771.6 "," 7,640.9 "," 8,050.3 "," 8,352.7 "," 8,831.9 "," 8,483.9 "," 8,888.6 "," 9,252.8 "," 9,547.6 "," 9,503.3 "," 9,845.3 "," 10,309.1 "," 10,565.4 "," 10,429.3 "," 10,688.7 "," 10,988.9 "," 11,000.7 "," 11,245.1 "," 11,450.7 "," 11,350.7 "," 10,584.1 "," 10,045.6 "," 10,544.9 "," 10,964.6 "," 11,327.7 "," 11,664.7 "," 12,376.8 "," 12,708.5 "," 13,210.8 "," 12,635.6 "," 13,306.3 "," 13,761 "," 13,994.1 "," 13,436.3 "," 14,633 "," 14,273.7 "," 15,052.8 "," 14,753.3 "," 15,098.3 "," 15,129.3 "," 15,941.6 "," 14,919.3 "," 15,754.5 "," 15,732.3 "," 16,794 "," 15,586.1 "," 16,466.5 "," 16,591 "," 16,940.9 "," 15,153.9 "," 15,982.9 "," 16,833.9 "," 18,050.9 "," 16,111.2 "," 16,259.9 "," 16,592.4 "," 18,014.3 "," 16,566.4 "," 17,117.6 "," 17,361.8 "," 17,812.2 "," 16,124.8 "," 16,493.6 "," 16,759 "," 17,481.1 "," 15,227.4 "," 15,149.3 ",
